Judul,Kota,Wilayah,Luas_Bangunan,Luas_Lahan,Harga,Total_Luas,Kategori
RUMAH DIJUAL DEKAT PANAKUKKANG MAKASSAR,Makassar,,192,200,2800000000,392,Besar
RUMAH DI JUAL DI CITRALAND TALLASA CITY MAKASSAR,Makassar,Tamalanrea,162,135,2303000000,297,Besar
JUAL RUMAH DEKAT BANDARA SULTAN HASANUDDIN MAKASSAR,Makassar,Biringkanaya,60,96,667000000,156,Kecil
RUMAH CANTIK 2LT ALA RESORT PERTAMA DIMAKASSAR,Makassar,Biringkanaya,133,120,1897000000,253,Sedang
Rumah modern minimalis di perbatasan makassar maros,Makassar,,45,72,320000000,117,Kecil
RUMAH MURAH SUDIANG DG RAMANG,Makassar,Biringkanaya,47,78,435000000,125,Kecil
rumah ready unit Sudiang makassar,Makassar,Sudiang,48,72,485000000,120,Kecil
RUMAH DEKAT HERTASNING BARU,Makassar,Manggala,45,60,599900000,105,Kecil
Rumah tengah kota makassar Uripsumoharjo,Makassar,Panaikang,145,118,1325000000,263,Sedang
Di Jual Tallasa City,Makassar,Tamalanrea,37,72,540700000,109,Kecil
Rumah 2 lantai murah kota makassar,Makassar,Biringkanaya,68,84,658000000,152,Kecil
Rumah mewah tengah kota Makassar jln mongsidi baru,Makassar,Maricaya Baru,165,144,3900000000,309,Besar
Kumala Residence,Makassar,Tamalate,45,78,691700000,123,Kecil
ALAMANDA TALLASA CITY  INVESTASI TERBAIK MASA DEPAN,Makassar,Tamalanrea,38,72,699000000,110,Kecil
Rumah Siap Huni Di Makassar,Makassar,Manggala,60,90,610000000,150,Kecil
RUMAH DEKAT KE HERTASNING BARU,Makassar,Manggala,36,84,460000000,120,Kecil
RUMAH SIAP HUNI TAMANGAPA MAKASSAR,Makassar,Tamangapa,60,90,615000000,150,Kecil
Rumah siap huni dekat kampus umi makassar,Makassar,Pampang,50,79,675000000,129,Kecil
Summarecon Mutiara Makassar,Makassar,Biringkanaya,64,55,792000000,119,Kecil
Sherry Summarecon Mutiara Makassar,Makassar,Biringkanaya,89,77,1169000000,166,Kecil
RUMAH READY UNIT SUDIANG,Makassar,Pai,48,72,485000000,120,Kecil
RUMAH READY UNIT DG TATA,Makassar,Tamalate,78,107,1292000000,185,Kecil
Rumah ready dekat hertasning baru,Makassar,Manggala,36,84,459900000,120,Kecil
Rumah siap huni sudiang,Makassar,Sudiang Raya,48,72,455000000,120,Kecil
RUMAH SIAP HUNI TAMANGAPA MAKASSAR,Makassar,Tamangapa,45,72,490000000,117,Kecil
RUMAH 2 LANTAI PANAIKANG MAKASSAR,Makassar,Panaikang,70,84,645000000,154,Kecil
Rumah di panaikang makassar,Makassar,Panaikang,45,78,427000000,123,Kecil
rumah ready unit belakang kampus umi kota makassar,Makassar,Panakkukang,60,90,675000000,150,Kecil
Rumah siap huni dekat hertasning,Makassar,Bangkala,45,90,599900000,135,Kecil
RUMAH 2 LANTAI DEKAT KAMPUS UNHAS,Makassar,Tamalanrea,75,72,715000000,147,Kecil
RUMAH DEKAT KAMPUS UMI,Makassar,Pampang,50,79,675000000,129,Kecil
RUMAH 2 LANTAI BELAKANG POLDA,Makassar,Biringkanaya,68,84,698000000,152,Kecil
Rumah siap huni dekat hertasning,Makassar,Manggala,45,90,599900000,135,Kecil
Alamanda Tallasa City Makassar,Makassar,Tamalanrea,49,96,772000000,145,Kecil
Summarecon Mutiara Makassar Green Crystal,Makassar,Biringkanaya,112,160,2057000000,272,Sedang
Golden Avenue Citraland City Losari Makassar  Limited Unit,Makassar,Mariso,151,126,3849000000,277,Besar
RUMAH CLUSTER CLOVE TANJUNG BUNGA,Makassar,Tamalate,116,120,2700000000,236,Sedang
RUMAH MEWAH BERADA DLM CLUSTER GMTD TANJUNG BUNGA,Makassar,Tamalate,562,312,6500000000,874,Besar
Alamanda  Tallasa  City Perintis Makassar,Makassar,Tamalanrea,38,96,699000000,134,Kecil
Green Crystal  Summarecon mutiara Makassar,Makassar,Biringkanaya,73,84,1190000000,157,Kecil
rumah murah 2 lanati lokasi daya makassar,Makassar,Daya,80,78,735000000,158,Kecil
rumah ready unit depan Polda sudiang makassar,Makassar,Sudiang Raya,42,72,598000000,114,Kecil
RUMAH 2 LANTAI SUDIANG,Makassar,Biringkanaya,69,105,699000000,174,Kecil
RUMAH DP MULAI 25 JUT HERTASNING BARU,Makassar,Bangkala,40,78,500000000,118,Kecil
RUMAH SIAP HUNI,Makassar,Tamangapa,60,90,615000000,150,Kecil
RUMAH SIAP HUNI DEKAT KE HERTASNING,Makassar,Manggala,45,90,599900000,135,Kecil
RUMAH 2 LANTAI DEKAT UNHAS,Makassar,Tamalanrea,75,72,715000000,147,Kecil
Rumah siap Huni Toddopuli,Makassar,Panakkukang,100,98,1350000000,198,Sedang
Alamanda Tallasa City Makassar,Makassar,Tamalanrea,65,120,1032000000,185,Kecil
Summarecon Mutiara Makassar,Makassar,Biringkanaya,64,65,1076000000,129,Kecil
Summarecon Mutiara  Green Crystal  Makassar,Makassar,Biringkanaya,110,112,1406000000,222,Sedang
PERUMAHAN BUKIT BARUGA  TYPE PADMA  GRATIS KANOPI  3 AC,Makassar,Antang,120,120,1700000000,240,Sedang
Summarecon mutiara kota makassar,Makassar,Biringkanaya,74,84,1200000000,158,Kecil
RUMAH DEPAN POLDA SUDIANG,Makassar,Biringkanaya,42,72,598000000,114,Kecil
RUMAH SIAP HUNI,Makassar,Manggala,36,84,459900000,120,Kecil
Rumah panaikang makassar,Makassar,Panaikang,45,78,427000000,123,Kecil
RUMAH READY STOCK,Makassar,Manggala,36,84,460000000,120,Kecil
Rumah Murah Barombong  Ville Park,Makassar,Tamalate,45,1,458000000,46,Kecil
Rumah mewah Hertasning makassar,Makassar,Kassi - Kassi,118,78,900000000,196,Sedang
Rumah keren di tallasa city kota makassar,Makassar,Kapasa,49,96,781000000,145,Kecil
Rumah 2 lantai makassar,Makassar,Parang Tambung,60,91,1100000000,151,Kecil
Dijual Rumah Summarecon Mutiara Makassar,Makassar,,95,87,1100000000,182,Sedang
Rumah baru siap huni Di antang makassar,Makassar,,45,78,455000000,123,Kecil
Rumah mewah Toddopuli makassar,Makassar,Panakkukang,97,100,956000000,197,Sedang
Rumah 2 lantai Citraland tallasa city makassar,Makassar,Tamalanrea,80,105,1250000000,185,Kecil
RUMAH MEWAH SIAP HUNI DI KOTA MAKASSAR DEKAT METRO TANJUNG BUNGA,Makassar,Tamalate,140,105,1745000000,245,Sedang
Rumah murah makassar daya,Makassar,Kapasa,80,78,695000000,158,Kecil
Rumah 2 lantai kota makassar,Makassar,Borong,70,84,899000000,154,Kecil
Rumah di daya makassar,Makassar,Biringkanaya,49,72,420000000,121,Kecil
Rumah DI depan SMA 10 MAKASSAR,Makassar,,45,78,490000000,123,Kecil
Malino Wonderland empatnya satusatunya Kawasan Islami TERPADU dan Terbesar di,Makassar,,32,88,350000000,120,Kecil
PERUMAHAN BUKIT BARUGA  SUPER PROMO FREE SMART HOME KANOPI AC ,Makassar,Antang,120,120,1700000000,240,Sedang
Rumah mewah cendrawasi kota makassar,Makassar,Mariso,140,116,1827800000,256,Sedang
Lokasi Toddopuli,Makassar,Panakkukang,100,98,1350000000,198,Sedang
Rumah Dp 21 jutaan,Makassar,Tamangapa,40,72,432000000,112,Kecil
Rumah murah 2 lantai panaikang,Makassar,Panaikang,70,84,685000000,154,Kecil
RUMAH DALAM CLUSTER,Makassar,Tamalate,45,105,850000000,150,Kecil
RUMAH LAYAK HUNI,Makassar,Rappocini,234,135,2200000000,369,Besar
Rumah 2 lantai panaikang,Makassar,Panaikang,70,84,645000000,154,Kecil
RUMAH 2 LANTAI DAYA MAKASSAR,Makassar,Biringkanaya,80,78,735000000,158,Kecil
Rumah cantik panaikang makassar,Makassar,Panaikang,45,78,465000000,123,Kecil
RUMAH SIAP HUNI TODDOPULI,Makassar,Panakkukang,100,98,1350000000,198,Sedang
Tallasa city makassar,Makassar,Biringkanaya,38,96,699000000,134,Kecil
Alamanda Tallasa City Makassar,Makassar,Tamalanrea,38,96,699000000,134,Kecil
RUMAH TENGAH KOTA,Makassar,Losari,123,126,3565000000,249,Sedang
RUMAH COCOK UTK RHM KOST,Makassar,Tidung,300,300,2500000000,600,Besar
RUMAH LAYAK HUNI DLM KOTA,Makassar,Tidung,400,369,3500000000,769,Besar
RUMAH DALAM CLUSTER,Makassar,Tanjung Merdeka,70,126,1000000000,196,Kecil
RUMAH DALAM KOTA,Makassar,Lariang Bangi,96,128,1100000000,224,Sedang
RUMAH DALAM KOTA SIAP HUNI,Makassar,Jongaya,70,126,978000000,196,Kecil
Hanya 600jutaan saja Rumah Mewah Harga Murah Di Lokasi Strategis,Makassar,Daya,80,78,600000000,158,Kecil
Lokasi dekat Unhas,Makassar,Tamalanrea,75,72,715000000,147,Kecil
Tallasa city makassar,Makassar,Biringkanaya,38,96,699000000,134,Kecil
Rumah taman pertama di makassar,Makassar,Tamangapa,65,80,625000000,145,Kecil
RUMAH DLM KOTA,Makassar,Lariang Bangi,360,324,3800000000,684,Besar
Rumah mewah toddopuli,Makassar,Panakkukang,97,100,956000000,197,Sedang
Rumah dekat hertasning makassar,Makassar,Rappocini,110,60,900000000,170,Sedang
Rumah Ready tamangapa makassar,Makassar,Tamangapa,40,72,432000000,112,Kecil
RUMAH DALAM KOTA MAKASSAR,Makassar,Maricaya Baru,70,150,1000000000,220,Kecil
RUMAH SIAP HUNI DI TENGAH KOTA,Makassar,Maloku,430,143,5500000000,573,Besar
RUMAH DLM KOTA MAKASSAR,Makassar,Mangasa,230,630,5500000000,860,Besar
GOLDEN AVANUE  CITRALAND CITY LOSARI  CPI,Makassar,Losari,123,126,3565000000,249,Sedang
Perumahan Bebas Banjir,Makassar,,38,90,530000000,128,Kecil
APARTEMEN 31 suite PUSAT KOTA MAKASSAR,Makassar,,60,90,2100000000,150,Kecil
Rumah Lokasi Barombong MAKASSAR bebas Banjir,Makassar,Barombong,45,90,345000000,135,Kecil
Jual cepat rumah di barombong siap huni,Makassar,Barombong,108,135,300000000,243,Sedang
PMKS Dijual Rumah Tipe 6060 di Roma Corner View Makassar,Makassar,Panakkukang,60,60,1000000000,120,Kecil
RUMAH MEWAH DI CITRALAND TALLASA CITY DAERAH TAMALANREA DEKAT TOL DAN BANDARA,Makassar,Tamalanrea,182,180,2677000000,362,Besar
Rumah murah sudiang,Makassar,Sudiang Raya,47,78,435000000,125,Kecil
260 MP Dijual Rumah di Jalan Lanto Dg Pasewang Makassar,Makassar,,330,420,6000000000,750,Besar
Dijual Cepat Rumah  2 Lantai di Perumahan 9 Residence,Makassar,Rappocini,105,105,1900000000,210,Sedang
Dijual rumah dalam kompleks jalan Monumen Emmy Saelan jalan Skarda,Makassar,Rappocini,70,131,650000000,201,Kecil
perumahan elegan,Makassar,Balla Parang,31,60,541000000,91,Kecil
Dijual rumah dalam perumahan di jalan Aroepala Hertasning,Makassar,Rappocini,240,120,2000000000,360,Besar
RUMAH DIJUAL HARGA MURAH SIAP HUNI DI TELLO,Makassar,Tello Baru,50,84,460000000,134,Kecil
Dijual Rumah 2 Lantai Area Tamalanrea,Makassar,Biringkanaya,234,162,3000000000,396,Besar
Rumah makasar  Yekti,Makassar,,68,180,3000000000,248,Kecil
Rumah 2 Lantai di Pusat Kota Makassar,Makassar,,60,91,925000000,151,Kecil
Rumah pusat kota Makassar,Makassar,Mamajang,80,69,775000000,149,Kecil
Rumah 2 lantai Hertasning,Makassar,,100,91,850000000,191,Sedang
RUMAH CANTIK DEPAN DANAU TANJUNG BUNGA MAKASSAR,Makassar,Rappocini,91,153,2600000000,244,Sedang
PMKS Dijual Rumah Tipe 8067 di Veteran Selatan Makassar,Makassar,Maricaya,67,80,875000000,147,Kecil
296 MP Dijual Rumah di Jalan Anuang Makassar,Makassar,,124,62,950000000,186,Sedang
Rumah Mewah Berkelas Harga Murah Kota Makassar,Makassar,Manggala,100,82,825000000,182,Sedang
RUMAH DIJUAL MAKASSAR DEKAT MALL PANAKKUKANG  RS HERMINA 2 LANTAI,Makassar,Borong,72,78,385000000,150,Kecil
Di Kota Makassar Hanya 360jt,Makassar,,36,72,360000000,108,Kecil
RUMAH SIAP HUNI DAYA MAKASSAR BEBAS BANJIR,Makassar,,49,72,420000000,121,Kecil
PMKS Dijual Rumah Tipe 7572 di Nusa Jaya Residence Makassar,Makassar,Panakkukang,75,72,789180000,147,Kecil
256 MP Dijual Rumah di Jalan Andi Mappanyukki Makassar,Makassar,Mariso,590,480,13500000000,1070,Besar
Rumah siap Huni Lokasi poros jalan barombong Makassar,Makassar,Barombong,51,90,387000000,141,Kecil
Dijual rumah aman dan nyaman di jalan malengkeri jl daeng tata makassar,Makassar,Rappocini,98,98,2200000000,196,Sedang
Dijual rumah dalam perumahan di jalan goa ria Biringkanaya sudiang Makassar,Makassar,Biringkanaya,100,175,750000000,275,Sedang
Rumah ready hertasning,Makassar,,40,78,500000000,118,Kecil
214 MP Dijual Rumah di Jalan Karunrung Raya 2 Makassar,Makassar,Rappocini,180,150,850000000,330,Besar
Jual Rumah Tosca Tree  Citraland Celebes Makassar,Makassar,Rappocini,600,400,8000000000,1000,Besar
PMKS Dijual Rumah Tipe 2260 di Mutiara Gading 3 Makassar,Makassar,Daya,22,60,429400000,82,Kecil
35 Dijual Ruko di Jalan Abdullah Dg Sirua Makassar,Makassar,Panakkukang,580,250,4000000000,830,Besar
Rumah siap huni Makassar,Makassar,Tanjung Merdeka,148,144,2500000000,292,Sedang
211 MP Dijual rumah di Perumahan IDI Pettarani Makassar,Makassar,Masale,255,299,4800000000,554,Besar
Jual Rumah Citraland Rallasa City Makassar Type Riviera,Makassar,Tamalanrea,82,105,1238330000,187,Kecil
PMKS Dijual Rumah Tipe 69105 di Griya Permata Lestari,Makassar,Biringkanaya,69,105,599000000,174,Kecil
Rumah minimalis btp bebas banjir ready unit,Makassar,Tamalanrea,50,84,500000000,134,Kecil
PMKS Dijual Rumah Tipe Trivial di Premier Residence Makassar,Makassar,Maccini Sombala,146,126,2794248574,272,Sedang
PMKS Dijual Rumah Tipe 4784 di Gemilang Harvest Residence,Makassar,Biringkanaya,47,84,421000000,131,Kecil
Rumah murah sudiang,Makassar,Sudiang,40,72,395000000,112,Kecil
RUMAH PROMO CASH DAERAH PERINTIS 3 DEKAT MALL MTOS TAMALANREA,Makassar,Tamalanrea,36,60,399000000,96,Kecil
234 MP Dijual Rumah di Perumahan Panakkukang Makassar,Makassar,Panakkukang,180,300,3000000000,480,Besar
279 MP Dijual Rumah di Komp Lili Panakkukang Makassar,Makassar,Panakkukang,70,105,1300000000,175,Kecil
PMKS Dijual Rumah Tipe 6090 di Brista Gemilang Makassar,Makassar,Tamalanrea,60,90,548235000,150,Kecil
Rumah modern di panaikang,Makassar,,45,78,427000000,123,Kecil
PMKS Dijual Rumah Tipe 47105 di Megah Country Makassar,Makassar,Tamalanrea,47,105,550000000,152,Kecil
ARUMAH MURAH,Makassar,Mappala,45,72,490000000,117,Kecil
Rumah Cantik mewah 3 Lantai lokasi Makassar,Makassar,Manggala,118,78,1016000000,196,Sedang
216 MP Dijual Rumah di Castell Premium Type 6090 Makassar,Makassar,Pampang,60,90,700000000,150,Kecil
241 MP Dijual Rumah di Glora Pajjaiang Sudiang Makassar,Makassar,Biringkanaya,60,84,465000000,144,Kecil
Rumah Baru Modern Estate Makassar,Makassar,Panakkukang,55,108,750000000,163,Kecil
RUMAH MEWAH 2 LANTAI DI TODOPULI KOTA MAKASSAR,Makassar,Tamangapa,70,67,650000000,137,Kecil
Jual Rumah Green Garden Tanjung Bunga Makassar,Makassar,Tanjung Merdeka,55,96,500000000,151,Kecil
27 MP Dijual Rumah di Balmond Residence Makassar,Makassar,Rappocini,220,176,2500000000,396,Besar
Hunian Ekslusif di Pengayoman Makassar,Makassar,Panakkukang,349,162,5950000000,511,Besar
Rumah modern di pusat kota Makassar,Makassar,Maricaya,165,246,4831000000,411,Besar
25 Dijual Rumah di Kompleks Anggrek Jalan Kuning Makassar,Makassar,Rappocini,250,150,950000000,400,Besar
RUMAH MEWAH 3KT DI SUDIANG MAKASSAR,Makassar,Biringkanaya,60,90,460000000,150,Kecil
Rumah siap huni harga miring,Makassar,Barombong,36,70,300000000,106,Kecil
Rumah minimalis,Makassar,,120,120,400000000,240,Sedang
Rumah makassar best seller di makassar,Makassar,Tamalanrea,38,96,692000000,134,Kecil
rumah comersil lokasi strategis,Makassar,Tamangapa,54,90,685000000,144,Kecil
rumah nyaman dan Asri,Makassar,Paccerakkang,50,78,515000000,128,Kecil
Rumah cantik lokasi sangat strategis di dalam kota Makassar dekat dari mall Pana,Makassar,Rappocini,165,150,1650000000,315,Besar
Perumahan Syariah dekat mall Panakukang di kota Makassar,Makassar,Borong,54,84,715000000,138,Kecil
Vetran Selatan Vetran Galaxy Big Promo Januari Diskon hingga 110 jtaan,Makassar,Banta Bantaeng,80,70,765000000,150,Kecil
Miliki rumah idaman desain elegan harga terjangkau,Makassar,Tamalanrea,45,78,458000000,123,Kecil
270MP Dijual Rumah di Jalan Perintis Kemerdekaan Makassar,Makassar,Tamalanrea,300,386,550000000,686,Besar
DIJUAL RUMAH DIKOMPLEKS MAWAR PANAKUKANG MAKASSAR,Makassar,Masale,300,184,1700000000,484,Besar
Rumah Dp 19 juta tamangapa,Makassar,Tamangapa,40,72,432000000,112,Kecil
26 MP Dijual Rumah di Palada Residence Makassar,Makassar,Paccerakkang,60,90,380000000,150,Kecil
258 MP Dijual Rumah di Jalan Monginsidi Lama Makassar,Makassar,,550,330,15000000000,880,Besar
RUMAH SYARIAH MAKASSAR,Makassar,Panakkukang,70,67,575000000,137,Kecil
RUMAH SIAP HUNI DI SUDIANG PROMO CASH 418JTT,Makassar,Sudiang,54,91,418000000,145,Kecil
Rumah murah grand Sulawesi antang,Makassar,Antang,40,72,350000000,112,Kecil
Rumah siap huni lokasi strategis Barombong Makassar,Makassar,Barombong,43,78,387000000,121,Kecil
HALMIN RESIDENCE Hertasning baru,Makassar,Rappocini,70,84,1180000000,154,Kecil
PMKS Dijual Rumah Tipe Dario di Mansion Tanjung Bunga,Makassar,Tamalate,150,126,2958637678,276,Sedang
Rumah Siap Huni Daya,Makassar,Biringkanaya,49,72,420000000,121,Kecil
Di Jual Rumah Murah Di perintis kemerdekaan dekat kampus Unhas,Makassar,Tamalanrea,36,60,388000000,96,Kecil
PMKS Dijual Rumah Tipe 4072 di Cluster Pelangi Makassar,Makassar,Tamalanrea,40,72,456000000,112,Kecil
PMKS Dijual Rumah Tipe 3872 di New Rosemary Green River View,Makassar,Tamalate,38,72,461785000,110,Kecil
Rumah cantik cicilan murah,Makassar,,30,55,355000000,85,Kecil
Rumah siap huni di minasa upa,Makassar,Rappocini,105,105,675000000,210,Sedang
2109 MP Dijual Rumah di Jalan Bougenville Makassar,Makassar,Panakkukang,330,300,4500000000,630,Besar
Rumah 3 Kamar   Dekat Kampus Di Jalan Alauddin Makassar,Makassar,Mangasa,40,98,1000000000,138,Kecil
249 MP Dijual Rumah di Jalan Raya Pendidikan Makassar,Makassar,Rappocini,110,170,2500000000,280,Sedang
257 MP Dijual Rumah di Jalan Andi Mappanyukki Makassar,Makassar,Mariso,660,450,14500000000,1110,Besar
PMKS Dijual Rumah Tipe 3160 di Cluster Utopia Tallasa City,Makassar,Tamalanrea,31,60,535000000,91,Kecil
RUMAH 2 LANTAI TENGAH KOTA 4 KAMAR LOKASI VETERAN SELATAN MAKASSAR,Makassar,Mamajang Dalam,80,77,875000000,157,Kecil
PMKS Dijual Rumah Tipe 4072 di Laqava Land  Makassar,Makassar,Biringkanaya,40,72,423000000,112,Kecil
PMKS Dijual Rumah Tipe 5078 di Brista Gemilang Makassar,Makassar,Tamalanrea,50,78,458676000,128,Kecil
Perumahab elit mewah dekat pantai losari dan rs siloam,Makassar,,294,240,3400000000,534,Besar
DP Dibayarkan Developer Hanya 400jtaan,Makassar,Daya,30,60,482300000,90,Kecil
Perumahan AlFath Residence,Makassar,Bonto Biraeng,30,50,258000000,80,Kecil
PERUMAHAN MEWAH DI HERTASNING BARU,Makassar,Rappocini,98,135,2300000000,233,Sedang
rumah sisa 1unit,Makassar,Mangasa,45,78,520000000,123,Kecil
268 MP Dijual Rumah di Jalan Emmy Saelan III C Makassar,Makassar,,180,300,2800000000,480,Besar
272 MP Dijual Rumah di Golden Park Panakukkang Makassar,Makassar,Panakkukang,160,120,1650000000,280,Besar
Griya Harapan Pampang Makassar,Makassar,Pampang,50,78,595000000,128,Kecil
THE MUTIARA PETTARANI,Makassar,Maccini,221,91,3750000000,312,Besar
JUAL RUMAH SIAP HUNI DEPAN SMA 10 MAKASSAR,Makassar,Tamangapa,45,78,455000000,123,Kecil
Rumah 10 menit Bandara Internasional Sultan Hasanuddin Akses  Tol Parangloe,Makassar,Tamalanrea,38,72,507300000,110,Kecil
TOWN HOUSE PREMIUM DI PUSAT KOTA MAKASSAR,Makassar,Manggala,125,98,123000000,223,Sedang
PGW Dijual Rumah Tipe 3672 di Perumahan Tanjung Permai Gowa,Makassar,Barombong,36,72,156500000,108,Kecil
Rumah 2 lantai dekat ke bandara makassar,Makassar,Sudiang,100,112,800000000,212,Sedang
RUMAH READY STOK DI TALLASA CITY DEKAT AKSES TOL DAN PERINTIS KEMERDEKAAN,Makassar,Tamalanrea,49,96,772000000,145,Kecil
Dijual Rumah Cantik 1 12 Lantai Daerah Toddopuli XV Makassar,Makassar,Manggala,120,90,750000000,210,Sedang
Rumah  citrland 700 jutaaan,Makassar,Tamalanrea,36,72,717000000,108,Kecil
Di Jual Rumah Mewah Strategis Poros Asrama Haji  Makassar,Makassar,Sudiang Raya,57,78,450000000,135,Kecil
Dijual rumah dalam perumahan dijalan borong raya jalan batua raya,Makassar,Batua,72,90,550000000,162,Kecil
Rumah Makassar Best Seller,Makassar,Biringkanaya,36,72,475700000,108,Kecil
Rumah makassar mewah di kota mandiri,Makassar,Tamalanrea,267,300,5333000000,567,Besar
THE TOPAZ RESIDENCE  SUMMARECON MUTIARA MAKASSAR,Makassar,Biringkanaya,55,64,750000000,119,Kecil
Wilayah Sangat Strategis Di Poros Jalan Raya Sangat Dekat Dengan Pasar Tradisional T,Makassar,Paropo,221,221,2500000000,442,Besar
RUMAH DIJUAL DITANJUNG BUNGA PERUMAHAN BLOSSOM,Makassar,Tamalate,70,126,1000000000,196,Kecil
214 Dijual Rumah di Jalan Dg Tata 1 Makassar,Makassar,Tamalate,110,100,700000000,210,Sedang
RUMAH 2 LANTAI DEKAT JL POROS  MAKASSAR SUDIANG DEKAT GOR,Makassar,,36,112,800000000,148,Kecil
Golden Galaxi Inn Panakukkang Paling Strategis Di Makassar,Makassar,Manggala,100,96,705000000,196,Sedang
PMKS Dijual Rumah Tipe 6072 di Nusa Jaya Residence Makassar,Makassar,Panakkukang,60,72,589920000,132,Kecil
217 Dijual Rumah Kosan di Kompleks IDI Panakkukang Makassar,Makassar,Panakkukang,800,565,3800000000,1365,Besar
255 MP Dijual Rumah di Perumahan Permata Hijau permai Makassar,Makassar,Rappocini,150,250,1600000000,400,Sedang
Rumah baru Hoo Citraland,Surabaya,Citraland,170,154,2400000000,324,Besar
Rumah Forest Mansion Full Furnist,Surabaya,Lakarsantri,300,150,5000000000,450,Besar
RUMAH PAKUWON INDAH EUROPEAN CLASSIC SANGAT MEWAH dekat mall pusat bisnis dan,Surabaya,Pakuwon,2400,1720,75000000000,4120,Besar
Perumahan SHM 2 Lantai Ready Unit 370 Jutaan Dekat Kampus UPN,Surabaya,Gunung Anyar Tambak,43,28,379500000,71,Kecil
Rumah gunung anyar dekat bandara dan Galaxy Mall,Surabaya,Gunung Anyar,70,58,895000000,128,Kecil
Dijual Rumah Oakwood Citraland Surabaya,Surabaya,Citraland,143,120,2850000000,263,Sedang
Perumahan Murah 2 Lantai 260 Jutaan Surabaya Timur,Surabaya,Gunung Anyar Tambak,28,21,269000000,49,Kecil
Dijual Rumah Mewah Rungkut Asri stok Terbatas,Surabaya,Rungkut,68,50,1195000000,118,Kecil
Dijual Rumah NorthwestLake Citraland,Surabaya,Citraland,69,72,1000000000,141,Kecil
Rumah Mewah Murah 0 Jalan Raya Wiyung 192  m,Surabaya,Wiyung,102,192,3272000000,294,Sedang
Termurah American Minimalis 2 Lt Super Terawat Graha Family Favorit,Surabaya,Wiyung,550,345,14000000000,895,Besar
Rungkut Asri 2 Lantai Harga Nego Sampai Deal,Surabaya,Rungkut,300,325,3750000000,625,Besar
RUMAH BUKIT GOLF CITRALAND KONSEP VILLA BALI dekat JLLB clubhouse komersial,Surabaya,Citraland,780,1000,26750000000,1780,Besar
RUMAH CITRALAND BARU GRES MEWAH GOLF VIEW ada SWIMMING POOL dekat clubhouseJLLB,Surabaya,Citraland,1500,944,42000000000,2444,Besar
Rumah Full Furnished Royal Residence Modern Minimalis,Surabaya,Wiyung,450,375,6500000000,825,Besar
RUMAH DARMO HARAPAN HOOK dekat Hokky swimming fitness pusat bisnis Surabaya,Surabaya,Sukomanunggal,600,449,7000000000,1049,Besar
RUMAH DARMO BARU TIMUR dekat lapangan tennis tol pusat bisnis dan komersial,Surabaya,Sukomanunggal,300,240,3800000000,540,Besar
RUMAH DARMO HARAPAN BARU RENOVASI dekat Superindo Hokky swimming fitness cente,Surabaya,Sukomanunggal,230,800,9500000000,1030,Besar
RUMAH ISEN INTERNATIONAL LIVING by Intiland SWIMMING POOL dekat Hokky clubhouse,Surabaya,Sukomanunggal,350,375,11500000000,725,Besar
RUMAH GRAHA FAMILY BARU GRES dekat clubhouse Loop tol pusat bisnis,Surabaya,Graha,550,345,15000000000,895,Besar
RUMAH BUKIT GOLF INTERNASIONAL CITRALAND BARU GRES MEWAH dekat JLLB clubhouse,Surabaya,Citraland,500,300,9500000000,800,Besar
RUMAH VILLA BUKIT REGENCY 3 PAKUWON INDAH BARU GRES dekat mall pusat bisnis,Surabaya,Pakuwon,500,300,9350000000,800,Besar
Rumah mewah perumahan Rungkut DP minim,Surabaya,Medokan Ayu,75,90,735000000,165,Kecil
RUMAH MEWAH SIAP HUNI DI MOSSEL BAY  GRAND ISLAND PAKUWON CITY HANYA 48 M,Surabaya,Mulyorejo,203,160,4800000000,363,Besar
RUMAH DARMO HARAPAN dekat Hokky swimming fitness center pusat bisnis Surabaya,Surabaya,Sukomanunggal,400,664,10000000000,1064,Besar
Rumah Baru,Surabaya,Gunung Anyar Tambak,150,105,850000000,255,Sedang
RUMAH PAKUWON INDAH MEWAH BARU RENOVASI TOTAL ada SWIMMING POOL dekat mall pusa,Surabaya,Pakuwon,650,450,18000000000,1100,Besar
RUMAH CITRALAND BARU GRES MEWAH ada SWIMMING POOL dekat danau Merlion Gwalk,Surabaya,Citraland,1200,670,22000000000,1870,Besar
Rumah Ready Stok Dp 0 ,Surabaya,,72,72,397000000,144,Kecil
Dijual Rumah Royal Residence Cluster Greenwich,Surabaya,Sumur Welut,200,160,4200000000,360,Besar
Graha Famili surabaya barat mewah minimalis dkt unesa pakuwon wiyung,Surabaya,Graha,1300,975,40000000000,2275,Besar
KARANG ASEM RUMAH BARU 2 LANTApI 11an,Surabaya,Kenjeran,135,90,1100000000,225,Sedang
Rumah cantik 2 lantai Medokan Rungkut,Surabaya,Rungkut,60,42,550000000,102,Kecil
Rumah Griya Ani nol jalan Raya  Medokan Rungkut buat usaha,Surabaya,Rungkut,70,61,800000000,131,Kecil
Rumah murah bisa KPR rungkut,Surabaya,Medokan Ayu,55,48,390000000,103,Kecil
Rumah mewah 2 lantai Rungkut DP minim pol,Surabaya,Rungkut,75,86,770000000,161,Kecil
Di Jamin Termurah Rumah 25 Lantai Siap Huni Di Gunung Anyar Surabaya,Surabaya,Gunung Anyar Tambak,56,32,499000000,88,Kecil
