Judul,Kota,Wilayah,Luas_Bangunan,Luas_Lahan,Harga,Total_Luas,Kategori
Di jual rumah minimalis murah dan bs KPR Developer,Jakarta,Lubang Buaya,40,40,450000000,80,Kecil
Rumah Dijual Di Dharmawangsa Prapanca Kebayoran Baru Jakarta Selatan,Jakarta,Kebayoran Baru,350,647,50000000000,997,Besar
Dijual rumah baru renovasi Durens awit jakarta timur,Jakarta,Duren Sawit,160,160,2200000000,320,Besar
BELI PASTI UNTUNG! JUAL SECEPAT KILAT Rumah di Lokasi Prime Kebayoran Baru,Jakarta,Kebayoran Baru,200,237,6500000000,437,Besar
Rumah Baru Minimalis Metland Puri,Jakarta,Kembangan,120,120,2500000000,240,Sedang
Rumah Kebayoran Baru,Jakarta,Kebayoran Baru,500,324,39000000000,824,Besar
Rumah kosan (kontrakan) 22 pintu,Jakarta,Semper Timur,300,180,2500000000,480,Besar
"Dijual Cepat Rumah dan Kos-kosan Lokasi Strategis, Luas, dan Asri",Jakarta,Bintaro,500,891,15000000000,1391,Besar
RUMAH MURAH DI KALI BARU,Jakarta,Senen,38,21,451000000,59,Kecil
Rumah murah pulogebang,Jakarta,Pulo Gebang,20,24,220000000,44,Kecil
"Dijual rumah murah asri minimalis, strategis Ciseeng 5jt all in",Jakarta,Kebagusan,32,65,260000000,97,Kecil
Rumah Mewah Ada Rooftop Dalam Cluster Rumah Cira Cipinang,Jakarta,Cipinang,300,205,6100000000,505,Besar
jual bangunan bekas rumah kost 3 lantai 40 kamar (hitung jual tanah),Jakarta,Utan Kayu Utara,639,243,3700000000,882,Besar
Cluster Mewah dan Murah di Kwitang Raya,Jakarta,,71,45,1500000000,116,Kecil
DI JUAL RUMAH MEWAH 2 LANTAI DAERAH CIPINANG,Jakarta,Cipinang,68,33,724850000,101,Kecil
Dandelion CIBUBUR - 700Jutaan PROMO ALL IN dekat Stasiun LRT - PREMIUM AREA,Jakarta,Cibubur,68,60,770000000,128,Kecil
Rumah Cantik Terbaru SCANDINAVIAN 700jutaan ALL IN dekat Tol & Stasiun HOT DEAL,Jakarta,Cijantung,68,60,770000000,128,Kecil
Dijual murah rumah diwilayah Jakarta Barat (Daerah Kebub Jeruk),Jakarta,Kebon Jeruk,180,105,1750000000,285,Besar
DIJUAL RUMAH HOEK TEBET JAKARTA SELATAN,Jakarta,Tebet Timur,300,235,6500000000,535,Besar
Jual cepat kos tanjung duren..jarang ada..nego sampai jadi,Jakarta,Tanjung Duren,180,78,3300000000,258,Besar
Perumahan Mahakam Konsep Etic 3 Lantai Jakarta Garden City,Jakarta,Cakung,63,75,1900000000,138,Kecil
Dijual Rumah Baru View Gunung Dekat Toll Daerah Asri by Kalindoland,Jakarta,Senen,36,115,665880000,151,Kecil
DIJUAL RUMAH ASRI AKSES MOBIL CIBUBUR BULAK RINGIN,Jakarta,Cibubur,60,89,650000000,149,Kecil
RUMAH MURAH SIAP HUNI PIK 2 Cluster Pasadena Spring,Jakarta,Pluit,110,60,1300000000,170,Sedang
Rumah kavling di pulogebang,Jakarta,Pulo Gebang,20,24,220000000,44,Kecil
Bali resort Tangerang haus++,Jakarta,Kalideres,80,60,898400000,140,Kecil
"Dijual Rumah Kolonel Sugiono siap huni, Nyaman buat tinggal bisa jadi 2 ruko",Jakarta,Duren Sawit,133,133,1980000000,266,Sedang
Rumah murah asri minimalis modern 5jt all in,Jakarta,Joglo,42,84,402000000,126,Kecil
Jual butuh dan murah rumah bedeng daerah Gandaria I.,Jakarta,Gandaria,36,36,400000000,72,Kecil
Dijual Rumah Duren Sawit Siap Huni,Jakarta,Duren Sawit,123,102,1750000000,225,Sedang
rumah baru 2lantai mewah termurah laris manis,Jakarta,Cipinang,73,35,760000000,108,Kecil
PREMIUM AREA - Dandelion Estate Hunian Scandinavian 700jutaan FREE BIAYA BIAYA,Jakarta,Cibubur,68,60,770000000,128,Kecil
Rumah Modern Jakarta SHM Tingkat 2 Lt Di Cipinang Kb Nanas Jaktim Mulai 700jtan,Jakarta,Cawang,68,33,724000000,101,Kecil
Metland Cyber Cluster Northbend Harga Perdana Paling Murah Se-Jakarta,Jakarta,Puri Indah,1,1,2200000000,2,Kecil
Virya Semanan Tipe 7,Jakarta,,166,140,3016000000,306,Besar
Dijual Rumah Lokasi Terogong Cilandak,Jakarta,Cilandak,864,1057,39000000000,1921,Besar
"RUMAH 2 LANTAI DALAM CLUSTER EXCLUSIVE, STRATEGIS DEKAT TOL SETU DAN TOL CEGER",Jakarta,Bambu Apus,112,139,2581000000,251,Sedang
DIJUAL RUMAH LAMA DI HANG LEKIR,Jakarta,Kebayoran Baru,250,200,12000000000,450,Besar
Rumah dlm cluster 6M nego smpai deal  di Kebagusan Jakarta Selatan,Jakarta,Kebagusan,225,306,6000000000,531,Besar
(RMD) RUMAH MINIMALIS SUBSIDI DEKAT STASIUN MAJA@PERMATA MUTIARA MAJA,Jakarta,Radio Dalam,27,60,150000000,87,Kecil
Rumah Djawa Klasik Modern Lebak Bulus Jak Sel,Jakarta,Lebak Bulus,900,1025,22000000000,1925,Besar
Dijual Rumah Modern Minimalis Dalam Townhouse Di Belakang Citos Cilandak Jakarta Sela...,Jakarta,Cilandak,433,157,8000000000,590,Besar
PRIVATE CLUSTER- Rumah/Hunian Terbaru Dekat PINTU TOL CIBUBUR 700 jutaan ALL IN,Jakarta,Cipayung,68,60,770000000,128,Kecil
